"('conv1', 21.855999999999998, 1.1814990434504582e-07, 0)","('bn1', 27.528000000000006, 2.8418981616523524e-07, 0)","('layer1.0.conv1', 22.960000000000004, 1.8271243175149728e-08, 0)","('layer1.0.bn1', 28.887999999999998, 2.7599970824667255e-07, 0)","('layer1.0.conv2', 26.045999999999996, 6.065913192833251e-09, 0)","('layer1.0.bn2', 25.80999999999999, 3.2529810206324327e-07, 0)","('layer2.0.conv1', 25.656, 1.3693557985970982e-08, 0)","('layer2.0.bn1', 29.448, 3.207558645633981e-07, 0)","('layer2.0.conv2', 26.241999999999994, 6.768150037714803e-09, 0)","('layer2.0.bn2', 29.586, 6.603097844868899e-07, 0)","('layer3.0.conv1', 25.654, 2.5297792677065427e-09, 0)","('layer3.0.bn1', 29.054, 6.774023316102101e-07, 0)","('layer3.0.conv2', 24.671999999999997, 2.2521333372424108e-09, 0)","('layer3.0.bn2', 30.214000000000002, 5.136864366748341e-07, 0)","('layer4.0.conv1', 27.791999999999994, 2.982917664485285e-09, 0)","('layer4.0.bn1', 30.214, 1.2614938022670686e-07, 0)","('layer4.0.conv2', 23.860000000000007, 4.657886160885027e-09, 0)","('layer4.0.bn2', 27.238, 8.429909064332607e-07, 0)","('avgpool', 25.116, 1.3837750121761926e-06, 0)"
"('conv1', 21.261999999999997, 1.1814990434504581e-07, 0)","('bn1', 26.782000000000007, 2.9230801753255943e-07, 0)","('layer1.0.conv1', 24.54600000000001, 1.335080066837691e-08, 0)","('layer1.0.bn1', 29.117999999999995, 2.840294914494734e-07, 0)","('layer1.0.conv2', 25.994, 3.250431510423366e-09, 0)","('layer1.0.bn2', 25.999999999999993, 3.2529810206324327e-07, 0)","('layer2.0.conv1', 25.424, 6.268195107259084e-09, 0)","('layer2.0.bn1', 29.374000000000002, 3.238062665011967e-07, 0)","('layer2.0.conv2', 26.049999999999997, 2.4422520282314503e-09, 0)","('layer2.0.bn2', 29.698, 6.513042502570897e-07, 0)","('layer3.0.conv1', 23.82, 3.1315769789671313e-09, 0)","('layer3.0.bn1', 29.013999999999996, 6.774023316102101e-07, 0)","('layer3.0.conv2', 25.516, 2.353894415500689e-09, 0)","('layer3.0.bn2', 30.388, 5.136864366748341e-07, 0)","('layer4.0.conv1', 26.064, 1.3721033108595293e-09, 0)","('layer4.0.bn1', 30.33, 1.4288979391130853e-07, 0)","('layer4.0.conv2', 18.513999999999996, 2.7936192548168033e-09, 0.5)","('layer4.0.bn2', 24.927999999999997, 8.80188402273052e-07, 0)","('avgpool', 23.851999999999997, 1.2581420750517282e-06, 0.5)"
"('conv1', 23.71399999999999, 8.215785387437792e-08, 0)","('bn1', 26.806000000000008, 2.8418981616523524e-07, 0)","('layer1.0.conv1', 23.26, 2.0823312688662553e-08, 0)","('layer1.0.bn1', 28.866, 2.880443830508739e-07, 0)","('layer1.0.conv2', 25.791999999999998, 8.404353128389628e-09, 0)","('layer1.0.bn2', 26.291999999999998, 3.106669152766699e-07, 0)","('layer2.0.conv1', 25.549999999999997, 5.68839315019431e-09, 0)","('layer2.0.bn1', 29.440000000000005, 3.207558645633981e-07, 0)","('layer2.0.conv2', 25.87, 5.6685318349991555e-09, 0)","('layer2.0.bn2', 29.844, 6.513042502570898e-07, 0)","('layer3.0.conv1', 24.194, 3.1315769789671313e-09, 0)","('layer3.0.bn1', 29.097999999999995, 6.740936044370755e-07, 0)","('layer3.0.conv2', 25.386, 2.637754265379043e-09, 0)","('layer3.0.bn2', 30.236, 5.136864366748341e-07, 0)","('layer4.0.conv1', 26.746000000000006, 2.0041376978042534e-09, 0)","('layer4.0.bn1', 29.99, 1.3013519300875486e-07, 0)","('layer4.0.conv2', 20.417999999999996, 2.078875453435104e-09, 0)","('layer4.0.bn2', 24.934, 9.120719701357303e-07, 0)","('avgpool', 23.518, 1.3389061060603127e-06, 0)"
"('conv1', 23.437999999999995, 5.816315356059933e-08, 0)","('bn1', 26.758000000000006, 2.9636711821622155e-07, 0)","('layer1.0.conv1', 22.497999999999998, 2.4103607693177763e-08, 0)","('layer1.0.bn1', 29.094, 2.7599970824667255e-07, 0)","('layer1.0.conv2', 25.939999999999998, 5.124301378782547e-09, 0)","('layer1.0.bn2', 26.653999999999996, 3.1651938999129927e-07, 0)","('layer2.0.conv1', 25.73, 8.192747821885857e-09, 0)","('layer2.0.bn1', 29.39, 3.2380626650119664e-07, 0)","('layer2.0.conv2', 26.139999999999997, 3.357134372890869e-09, 0)","('layer2.0.bn2', 29.586000000000006, 6.573079397436231e-07, 0)","('layer3.0.conv1', 25.442, 2.948313478418641e-09, 0)","('layer3.0.bn1', 29.093999999999994, 6.774023316102101e-07, 0)","('layer3.0.conv2', 25.034000000000002, 2.3538944155006895e-09, 0)","('layer3.0.bn2', 30.272000000000002, 5.136864366748341e-07, 0)","('layer4.0.conv1', 25.459999999999994, 1.747313079977175e-09, 0)","('layer4.0.bn1', 30.392000000000003, 1.3252668067798368e-07, 0)","('layer4.0.conv2', 18.46, 9.200820011301414e-10, 0)","('layer4.0.bn2', 24.115999999999993, 9.067580421586172e-07, 0)","('avgpool', 22.258000000000003, 1.3478798872834886e-06, 0)"
"('conv1', 21.468, 1.3014725450193513e-07, 0)","('bn1', 26.41, 2.9636711821622155e-07, 0)","('layer1.0.conv1', 22.962, 2.319168568192254e-08, 0)","('layer1.0.bn1', 28.856000000000005, 2.8603693725017366e-07, 0)","('layer1.0.conv2', 25.468, 2.947993278758077e-09, 0)","('layer1.0.bn2', 26.177999999999994, 3.106669152766699e-07, 0)","('layer2.0.conv1', 25.541999999999998, 7.262141319370127e-09, 0)","('layer2.0.bn1', 29.344000000000005, 3.2380626650119664e-07, 0)","('layer2.0.conv2', 25.96, 4.964776185261145e-09, 0)","('layer2.0.bn2', 29.641999999999996, 6.573079397436231e-07, 0)","('layer3.0.conv1', 24.836000000000006, 1.9106458199075843e-09, 0)","('layer3.0.bn1', 28.943999999999996, 6.740936044370755e-07, 0)","('layer3.0.conv2', 25.928000000000004, 2.0191540264931963e-09, 0)","('layer3.0.bn2', 30.312, 5.136864366748341e-07, 0)","('layer4.0.conv1', 25.270000000000003, 1.2634218604944187e-09, 0)","('layer4.0.bn1', 30.506000000000004, 1.4528128158053735e-07, 0)","('layer4.0.conv2', 19.155999999999995, 4.519757981370276e-09, 0)","('layer4.0.bn2', 24.518, 9.120719701357303e-07, 0)","('avgpool', 22.03, 1.2940371999444322e-06, 0)"
"('conv1', 21.865999999999996, 9.415520403126721e-08, 0)","('bn1', 26.584000000000003, 2.9230801753255943e-07, 0)","('layer1.0.conv1', 22.689999999999998, 2.1551538179664938e-08, 0)","('layer1.0.bn1', 28.978, 2.820220456487732e-07, 0)","('layer1.0.conv2', 25.855999999999995, 7.624873149870838e-09, 0)","('layer1.0.bn2', 26.34399999999999, 3.1651938999129927e-07, 0)","('layer2.0.conv1', 25.830000000000005, 1.0039343970856862e-08, 0)","('layer2.0.bn1', 29.45, 3.1618026165670015e-07, 0)","('layer2.0.conv2', 25.505999999999993, 3.906943474248692e-09, 0)","('layer2.0.bn2', 29.652, 6.573079397436231e-07, 0)","('layer3.0.conv1', 23.992000000000004, 4.369843874565048e-09, 0)","('layer3.0.bn1', 28.945999999999998, 6.774023316102101e-07, 0)","('layer3.0.conv2', 24.844, 1.2987927093490716e-09, 0)","('layer3.0.bn2', 30.291999999999998, 5.136864366748341e-07, 0)","('layer4.0.conv1', 26.367999999999995, 1.8896340268838694e-09, 0)","('layer4.0.bn1', 30.52, 1.4129546879848933e-07, 0)","('layer4.0.conv2', 21.4, 1.876781875353117e-09, 0)","('layer4.0.bn2', 26.318, 8.695605463188258e-07, 0)","('avgpool', 23.41, 1.3209585436139604e-06, 0)"
"('conv1', 21.825999999999993, 1.1814990434504582e-07, 0)","('bn1', 26.044000000000004, 3.0042621889988366e-07, 0)","('layer1.0.conv1', 23.478, 1.663109567289212e-08, 0)","('layer1.0.bn1', 28.926000000000002, 2.7599970824667255e-07, 0)","('layer1.0.conv2', 26.859999999999992, 9.183833106908423e-09, 0)","('layer1.0.bn2', 25.875999999999994, 3.2822433942055797e-07, 0)","('layer2.0.conv1', 26.430000000000003, 1.066786878145649e-08, 0)","('layer2.0.bn1', 29.328000000000003, 3.2990707037679385e-07, 0)","('layer2.0.conv2', 25.800000000000008, 2.576405448962759e-09, 0)","('layer2.0.bn2', 29.716, 6.513042502570898e-07, 0)","('layer3.0.conv1', 24.832000000000008, 1.2741766355702557e-09, 0)","('layer3.0.bn1', 29.094, 6.774023316102101e-07, 0)","('layer3.0.conv2', 25.331999999999997, 2.353894415500689e-09, 0)","('layer3.0.bn2', 30.307999999999996, 5.136864366748341e-07, 0)","('layer4.0.conv1', 27.948000000000004, 3.5379693574213897e-09, 0)","('layer4.0.bn1', 30.738000000000003, 1.4209263135489893e-07, 0)","('layer4.0.conv2', 23.98999999999999, 3.84580370950971e-09, 0)","('layer4.0.bn2', 27.825999999999997, 9.067580421586171e-07, 0)","('avgpool', 26.355999999999998, 1.3658274497298407e-06, 0)"
"('conv1', 20.493999999999996, 1.66139304972603e-07, 0)","('bn1', 26.300000000000008, 2.983966685580526e-07, 0)","('layer1.0.conv1', 23.538000000000004, 2.8112128188695358e-08, 0)","('layer1.0.bn1', 29.16, 2.6596247924317143e-07, 0)","('layer1.0.conv2', 26.452, 6.683261335820134e-09, 0)","('layer1.0.bn2', 26.10599999999999, 3.1651938999129927e-07, 0)","('layer2.0.conv1', 25.491999999999997, 9.610582859750138e-09, 0)","('layer2.0.bn1', 29.342000000000002, 3.2990707037679385e-07, 0)","('layer2.0.conv2', 25.022000000000006, 5.191297535020566e-09, 0)","('layer2.0.bn2', 29.656, 6.573079397436231e-07, 0)","('layer3.0.conv1', 24.046000000000006, 3.75071042676609e-09, 0)","('layer3.0.bn1', 28.933999999999994, 6.740936044370755e-07, 0)","('layer3.0.conv2', 25.581999999999997, 2.0191540264931963e-09, 0)","('layer3.0.bn2', 30.313999999999997, 5.115523188167572e-07, 0)","('layer4.0.conv1', 26.591999999999995, 3.5606113262474543e-09, 0)","('layer4.0.bn1', 30.45199999999999, 1.3810681857285093e-07, 0)","('layer4.0.conv2', 27.654, 5.834293273665025e-09, 0)","('layer4.0.bn2', 26.48399999999999, 9.120719701357303e-07, 0)","('avgpool', 26.956, 1.3209585436139604e-06, 0)"
"('conv1', 22.423999999999996, 8.330959948943926e-08, 0)","('bn1', 26.920000000000005, 2.862193665070663e-07, 0)","('layer1.0.conv1', 22.89, 1.663109567289212e-08, 0)","('layer1.0.bn1', 29.016000000000002, 2.880443830508739e-07, 0)","('layer1.0.conv2', 25.56, 2.7765076834839424e-09, 0)","('layer1.0.bn2', 26.159999999999997, 3.194456273486139e-07, 0)","('layer2.0.conv1', 26.186, 1.0039343970856862e-08, 0)","('layer2.0.bn1', 29.400000000000002, 3.192306635944988e-07, 0)","('layer2.0.conv2', 25.790000000000006, 5.191297535020567e-09, 0)","('layer2.0.bn2', 29.654000000000003, 6.513042502570898e-07, 0)","('layer3.0.conv1', 25.993999999999996, 3.854724845996315e-09, 0)","('layer3.0.bn1', 28.881999999999998, 6.774023316102101e-07, 0)","('layer3.0.conv2', 25.25, 6.895652013554342e-10, 0)","('layer3.0.bn2', 30.276, 5.136864366748341e-07, 0)","('layer4.0.conv1', 26.542000000000005, 3.6155989648250394e-09, 0)","('layer4.0.bn1', 30.279999999999998, 1.3890398112926053e-07, 0)","('layer4.0.conv2', 18.142, 2.451543427696378e-09, 0)","('layer4.0.bn2', 24.894, 8.536187623874867e-07, 0)","('avgpool', 22.346, 1.3389061060603127e-06, 0)"
"('conv1', 21.129999999999995, 8.215785387437792e-08, 0)","('bn1', 27.154000000000003, 2.9230801753255943e-07, 0)","('layer1.0.conv1', 21.926000000000005, 1.8271243175149728e-08, 0)","('layer1.0.bn1', 28.978, 2.940667204529746e-07, 0)","('layer1.0.conv2', 24.997999999999998, 3.4780396641508534e-09, 0)","('layer1.0.bn2', 26.85999999999999, 3.194456273486139e-07, 0)","('layer2.0.conv1', 26.499999999999993, 7.038016193109794e-09, 0)","('layer2.0.bn1', 28.928000000000004, 3.146550606878009e-07, 0)","('layer2.0.conv2', 25.208000000000002, 3.906943474248691e-09, 0)","('layer2.0.bn2', 29.776000000000003, 6.48302405513823e-07, 0)","('layer3.0.conv1', 24.836000000000002, 3.1315769789671313e-09, 0)","('layer3.0.bn1', 29.283999999999995, 6.774023316102101e-07, 0)","('layer3.0.conv2', 24.919999999999998, 1.2479121702199325e-09, 0)","('layer3.0.bn2', 30.363999999999997, 5.115523188167572e-07, 0)","('layer4.0.conv1', 25.596000000000004, 1.6709772993635854e-09, 0)","('layer4.0.bn1', 29.746, 1.3651249346003168e-07, 0)","('layer4.0.conv2', 18.958, 2.7101861262508457e-09, 0)","('layer4.0.bn2', 24.4, 8.748744742959388e-07, 0)","('avgpool', 22.874, 1.437617699515249e-06, 0)"
