"('conv1', 21.855999999999998, 1.1814990434504582e-07, 0)","('bn1', 27.528000000000006, 2.8418981616523524e-07, 0)","('layer1.0.conv1', 22.960000000000004, 1.8271243175149728e-08, 0)","('layer1.0.bn1', 28.887999999999998, 2.7599970824667255e-07, 0)","('layer1.0.conv2', 26.069999999999997, 6.8453931713520444e-09, 0)","('layer1.0.bn2', 25.821999999999992, 3.2529810206324327e-07, 0)","('layer2.0.conv1', 25.656, 1.4911629324342355e-08, 0)","('layer2.0.bn1', 29.456, 3.207558645633981e-07, 0)","('layer2.0.conv2', 26.126, 6.768150037714803e-09, 0)","('layer2.0.bn2', 29.586, 6.573079397436231e-07, 0)","('layer3.0.conv1', 25.561999999999994, 2.5297792677065427e-09, 0)","('layer3.0.bn1', 29.054, 6.774023316102101e-07, 0)","('layer3.0.conv2', 24.688, 1.9682734873640574e-09, 0)","('layer3.0.bn2', 30.214000000000002, 5.136864366748341e-07, 0)","('layer4.0.conv1', 27.698, 2.8347744970233177e-09, 0)","('layer4.0.bn1', 30.232, 1.2694654278311646e-07, 0)","('layer4.0.conv2', 25.232000000000003, 4.638418430886304e-09, 0)","('layer4.0.bn2', 27.14, 8.483048344103737e-07, 0)","('avgpool', 25.332, 1.3568536685066646e-06, 0)"
"('conv1', 21.261999999999997, 1.1814990434504581e-07, 0)","('bn1', 26.880000000000006, 2.9230801753255943e-07, 0)","('layer1.0.conv1', 24.54600000000001, 1.335080066837691e-08, 0)","('layer1.0.bn1', 29.117999999999995, 2.840294914494734e-07, 0)","('layer1.0.conv2', 25.864000000000004, 4.02991148894216e-09, 0)","('layer1.0.bn2', 26.04999999999999, 3.2529810206324327e-07, 0)","('layer2.0.conv1', 25.349999999999998, 6.268195107259084e-09, 0)","('layer2.0.bn1', 29.356, 3.238062665011967e-07, 0)","('layer2.0.conv2', 25.979999999999997, 2.4422520282314503e-09, 0)","('layer2.0.bn2', 29.698, 6.513042502570897e-07, 0)","('layer3.0.conv1', 23.82, 3.1315769789671313e-09, 0)","('layer3.0.bn1', 28.995999999999995, 6.774023316102101e-07, 0)","('layer3.0.conv2', 25.634, 2.6886348045081822e-09, 0)","('layer3.0.bn2', 30.407999999999998, 5.136864366748341e-07, 0)","('layer4.0.conv1', 26.064, 1.5338316596171355e-09, 0)","('layer4.0.bn1', 30.383999999999997, 1.4448411902412775e-07, 0)","('layer4.0.conv2', 18.50399999999999, 2.0983431834338258e-09, 0.5)","('layer4.0.bn2', 24.927999999999997, 8.80188402273052e-07, 0)","('avgpool', 23.851999999999997, 1.2581420750517282e-06, 0.5)"
"('conv1', 23.71399999999999, 8.215785387437792e-08, 0)","('bn1', 26.806000000000008, 2.8418981616523524e-07, 0)","('layer1.0.conv1', 23.26, 2.0823312688662553e-08, 0)","('layer1.0.bn1', 28.848000000000003, 2.880443830508739e-07, 0)","('layer1.0.conv2', 25.791999999999998, 8.404353128389628e-09, 0)","('layer1.0.bn2', 26.291999999999998, 3.106669152766699e-07, 0)","('layer2.0.conv1', 25.549999999999997, 6.526426230993818e-09, 0)","('layer2.0.bn1', 29.440000000000005, 3.207558645633981e-07, 0)","('layer2.0.conv2', 25.87, 6.21834093635698e-09, 0)","('layer2.0.bn2', 29.845999999999997, 6.48302405513823e-07, 0)","('layer3.0.conv1', 24.194, 3.75071042676609e-09, 0)","('layer3.0.bn1', 29.127999999999997, 6.740936044370755e-07, 0)","('layer3.0.conv2', 25.386, 2.637754265379043e-09, 0)","('layer3.0.bn2', 30.236, 5.136864366748341e-07, 0)","('layer4.0.conv1', 26.746000000000006, 2.0041376978042534e-09, 0)","('layer4.0.bn1', 29.958000000000002, 1.3013519300875486e-07, 0)","('layer4.0.conv2', 20.943999999999992, 2.078875453435104e-09, 0)","('layer4.0.bn2', 25.104, 9.120719701357303e-07, 0)","('avgpool', 23.424000000000003, 1.3389061060603127e-06, 0)"
"('conv1', 23.437999999999995, 7.016050371748863e-08, 0)","('bn1', 26.758000000000006, 2.9636711821622155e-07, 0)","('layer1.0.conv1', 22.497999999999998, 2.4103607693177763e-08, 0)","('layer1.0.bn1', 29.094, 2.780071540473728e-07, 0)","('layer1.0.conv2', 25.857999999999997, 3.5653414217449612e-09, 0)","('layer1.0.bn2', 26.681999999999995, 3.1651938999129927e-07, 0)","('layer2.0.conv1', 25.73, 9.410819160257232e-09, 0)","('layer2.0.bn1', 29.388, 3.2380626650119664e-07, 0)","('layer2.0.conv2', 26.156, 2.807325271533046e-09, 0)","('layer2.0.bn2', 29.586000000000006, 6.573079397436231e-07, 0)","('layer3.0.conv1', 25.768, 2.3291800306196827e-09, 0)","('layer3.0.bn1', 29.093999999999994, 6.774023316102101e-07, 0)","('layer3.0.conv2', 24.990000000000002, 2.0191540264931963e-09, 0)","('layer3.0.bn2', 30.272000000000002, 5.136864366748341e-07, 0)","('layer4.0.conv1', 25.522, 1.4238563824619632e-09, 0)","('layer4.0.bn1', 30.368000000000002, 1.3252668067798368e-07, 0)","('layer4.0.conv2', 18.235999999999997, 9.200820011301414e-10, 0)","('layer4.0.bn2', 23.597999999999992, 9.067580421586172e-07, 0)","('avgpool', 21.31, 1.3478798872834886e-06, 0)"
"('conv1', 21.468, 1.3014725450193513e-07, 0)","('bn1', 26.41, 2.9636711821622155e-07, 0)","('layer1.0.conv1', 22.56, 2.319168568192254e-08, 0)","('layer1.0.bn1', 28.816000000000006, 2.8603693725017366e-07, 0)","('layer1.0.conv2', 25.276, 2.947993278758077e-09, 0)","('layer1.0.bn2', 26.177999999999994, 3.1359315263398456e-07, 0)","('layer2.0.conv1', 25.465999999999998, 7.262141319370127e-09, 0)","('layer2.0.bn1', 29.344000000000005, 3.2380626650119664e-07, 0)","('layer2.0.conv2', 25.96, 4.964776185261145e-09, 0)","('layer2.0.bn2', 29.641999999999996, 6.573079397436231e-07, 0)","('layer3.0.conv1', 24.802000000000003, 1.9106458199075843e-09, 0)","('layer3.0.bn1', 28.943999999999996, 6.740936044370755e-07, 0)","('layer3.0.conv2', 25.934000000000005, 2.0191540264931963e-09, 0)","('layer3.0.bn2', 30.304, 5.136864366748341e-07, 0)","('layer4.0.conv1', 25.32, 1.5868785580096306e-09, 0)","('layer4.0.bn1', 30.512000000000004, 1.4528128158053735e-07, 0)","('layer4.0.conv2', 17.041999999999994, 4.751516671831269e-09, 0)","('layer4.0.bn2', 24.085999999999995, 9.120719701357303e-07, 0)","('avgpool', 21.956, 1.2940371999444322e-06, 0)"
"('conv1', 21.865999999999996, 9.415520403126721e-08, 0)","('bn1', 26.584000000000003, 2.9230801753255943e-07, 0)","('layer1.0.conv1', 22.689999999999998, 2.1551538179664938e-08, 0)","('layer1.0.bn1', 28.978, 2.820220456487732e-07, 0)","('layer1.0.conv2', 25.855999999999995, 7.624873149870838e-09, 0)","('layer1.0.bn2', 26.34999999999999, 3.106669152766699e-07, 0)","('layer2.0.conv1', 25.896000000000004, 8.441234374913623e-09, 0)","('layer2.0.bn1', 29.45, 3.1618026165670015e-07, 0)","('layer2.0.conv2', 25.505999999999993, 3.906943474248692e-09, 0)","('layer2.0.bn2', 29.652, 6.573079397436231e-07, 0)","('layer3.0.conv1', 23.93800000000001, 4.369843874565048e-09, 0)","('layer3.0.bn1', 28.919999999999998, 6.774023316102101e-07, 0)","('layer3.0.conv2', 24.778000000000002, 1.6335330983565644e-09, 0)","('layer3.0.bn2', 30.337999999999997, 5.136864366748341e-07, 0)","('layer4.0.conv1', 26.244, 2.0248389264452275e-09, 0)","('layer4.0.bn1', 30.671999999999997, 1.4049830624207973e-07, 0)","('layer4.0.conv2', 22.343999999999998, 1.8573141453543927e-09, 0)","('layer4.0.bn2', 26.278, 8.642466183417127e-07, 0)","('avgpool', 23.304, 1.3030109811676083e-06, 0)"
"('conv1', 21.825999999999993, 1.1814990434504582e-07, 0)","('bn1', 26.044000000000004, 3.0042621889988366e-07, 0)","('layer1.0.conv1', 23.478, 1.663109567289212e-08, 0)","('layer1.0.bn1', 28.938000000000002, 2.739922624459723e-07, 0)","('layer1.0.conv2', 26.859999999999992, 9.801181249895307e-09, 0)","('layer1.0.bn2', 25.875999999999994, 3.2822433942055797e-07, 0)","('layer2.0.conv1', 26.354000000000003, 1.066786878145649e-08, 0)","('layer2.0.bn1', 29.328000000000003, 3.314322713456932e-07, 0)","('layer2.0.conv2', 25.838000000000005, 3.1262145503205824e-09, 0)","('layer2.0.bn2', 29.698, 6.513042502570898e-07, 0)","('layer3.0.conv1', 24.832000000000008, 1.2915123721086259e-09, 0)","('layer3.0.bn1', 29.094, 6.774023316102101e-07, 0)","('layer3.0.conv2', 25.331999999999997, 2.353894415500689e-09, 0)","('layer3.0.bn2', 30.307999999999996, 5.136864366748341e-07, 0)","('layer4.0.conv1', 27.91, 3.6071890906896446e-09, 0)","('layer4.0.bn1', 30.814000000000004, 1.4129546879848933e-07, 0)","('layer4.0.conv2', 23.50999999999999, 3.6140450190487176e-09, 0)","('layer4.0.bn2', 27.812, 9.120719701357302e-07, 0)","('avgpool', 26.110000000000003, 1.3568536685066648e-06, 0)"
"('conv1', 20.493999999999996, 1.66139304972603e-07, 0)","('bn1', 26.300000000000008, 2.983966685580526e-07, 0)","('layer1.0.conv1', 23.538000000000004, 2.8112128188695358e-08, 0)","('layer1.0.bn1', 29.13, 2.639550334424712e-07, 0)","('layer1.0.conv2', 26.352, 5.90378135730134e-09, 0)","('layer1.0.bn2', 26.12399999999999, 3.194456273486139e-07, 0)","('layer2.0.conv1', 25.598, 9.610582859750138e-09, 0)","('layer2.0.bn1', 29.342000000000002, 3.2990707037679385e-07, 0)","('layer2.0.conv2', 25.126000000000005, 5.191297535020566e-09, 0)","('layer2.0.bn2', 29.656, 6.543060950003564e-07, 0)","('layer3.0.conv1', 24.104000000000006, 3.75071042676609e-09, 0)","('layer3.0.bn1', 28.933999999999994, 6.740936044370755e-07, 0)","('layer3.0.conv2', 25.581999999999997, 2.6886348045081822e-09, 0)","('layer3.0.bn2', 30.313999999999997, 5.115523188167572e-07, 0)","('layer4.0.conv1', 26.836000000000002, 3.5606113262474543e-09, 0)","('layer4.0.bn1', 30.439999999999994, 1.3810681857285093e-07, 0)","('layer4.0.conv2', 27.678, 6.529569345048003e-09, 0)","('layer4.0.bn2', 26.751999999999995, 9.173858981128433e-07, 0)","('avgpool', 26.970000000000002, 1.3209585436139604e-06, 0)"
"('conv1', 22.423999999999996, 8.330959948943926e-08, 0)","('bn1', 26.870000000000005, 2.862193665070663e-07, 0)","('layer1.0.conv1', 22.89, 1.663109567289212e-08, 0)","('layer1.0.bn1', 28.992000000000004, 2.880443830508739e-07, 0)","('layer1.0.conv2', 25.543999999999993, 2.7765076834839424e-09, 0)","('layer1.0.bn2', 26.159999999999997, 3.1651938999129927e-07, 0)","('layer2.0.conv1', 26.119999999999997, 8.821272632485486e-09, 0)","('layer2.0.bn1', 29.442000000000004, 3.192306635944988e-07, 0)","('layer2.0.conv2', 25.744000000000007, 4.641488433662742e-09, 0)","('layer2.0.bn2', 29.654000000000003, 6.513042502570898e-07, 0)","('layer3.0.conv1', 25.878, 3.2355913981973555e-09, 0)","('layer3.0.bn1', 28.822, 6.774023316102101e-07, 0)","('layer3.0.conv2', 24.992, 1.0243055903629273e-09, 0)","('layer3.0.bn2', 30.276, 5.136864366748341e-07, 0)","('layer4.0.conv1', 26.432000000000002, 3.292142267309828e-09, 0)","('layer4.0.bn1', 30.406, 1.3810681857285093e-07, 0)","('layer4.0.conv2', 20.143999999999995, 2.546100973404463e-09, 0)","('layer4.0.bn2', 25.452, 8.536187623874867e-07, 0)","('avgpool', 23.206, 1.3389061060603127e-06, 0)"
"('conv1', 21.129999999999995, 8.215785387437792e-08, 0)","('bn1', 27.154000000000003, 2.9230801753255943e-07, 0)","('layer1.0.conv1', 21.926000000000005, 1.8271243175149728e-08, 0)","('layer1.0.bn1', 29.088, 2.940667204529746e-07, 0)","('layer1.0.conv2', 25.186, 3.4780396641508534e-09, 0)","('layer1.0.bn2', 26.79999999999999, 3.194456273486139e-07, 0)","('layer2.0.conv1', 26.475999999999996, 5.81994485473842e-09, 0)","('layer2.0.bn1', 29.512000000000004, 3.1618026165670015e-07, 0)","('layer2.0.conv2', 25.208000000000002, 3.906943474248691e-09, 0)","('layer2.0.bn2', 29.776000000000003, 6.513042502570898e-07, 0)","('layer3.0.conv1', 24.964000000000002, 3.1315769789671313e-09, 0)","('layer3.0.bn1', 29.278, 6.774023316102101e-07, 0)","('layer3.0.conv2', 24.847999999999995, 1.2479121702199325e-09, 0)","('layer3.0.bn2', 30.363999999999997, 5.094182009586803e-07, 0)","('layer4.0.conv1', 25.480000000000004, 1.7479599933722057e-09, 0)","('layer4.0.bn1', 30.034, 1.3571533090362208e-07, 0)","('layer4.0.conv2', 19.459999999999994, 3.009618354326448e-09, 0)","('layer4.0.bn2', 24.367999999999995, 8.80188402273052e-07, 0)","('avgpool', 22.874, 1.4465914807384254e-06, 0)"
