"('conv1', 21.855999999999998, 1.1814990434504582e-07, 0)","('bn1', 27.396000000000004, 2.862193665070663e-07, 0)","('layer1.0.conv1', 22.992, 1.991139067740733e-08, 0)","('layer1.0.bn1', 29.166, 2.719848166452721e-07, 0)","('layer1.0.conv2', 26.471999999999998, 8.089443217068033e-09, 0)","('layer1.0.bn2', 25.945999999999994, 3.194456273486139e-07, 0)","('layer2.0.conv1', 25.886, 9.021036331978394e-09, 0)","('layer2.0.bn1', 29.398, 3.1770546262559943e-07, 0)","('layer2.0.conv2', 26.208, 5.668531834999157e-09, 0)","('layer2.0.bn2', 29.578000000000003, 6.603097844868899e-07, 0)","('layer3.0.conv1', 24.857999999999993, 1.9106458199075843e-09, 0)","('layer3.0.bn1', 29.033999999999995, 6.774023316102101e-07, 0)","('layer3.0.conv2', 24.876, 1.2479121702199325e-09, 0)","('layer3.0.bn2', 30.318, 5.115523188167572e-07, 0)","('layer4.0.conv1', 27.167999999999996, 1.749900733557297e-09, 0)","('layer4.0.bn1', 30.337999999999997, 1.3571533090362208e-07, 0)","('layer4.0.conv2', 19.908000000000005, 2.572057946736095e-09, 0)","('layer4.0.bn2', 25.976000000000003, 8.536187623874867e-07, 0)","('avgpool', 22.485999999999997, 1.3748012309530169e-06, 0)"
"('conv1', 21.261999999999997, 1.1814990434504581e-07, 0)","('bn1', 26.746000000000006, 2.9230801753255943e-07, 0)","('layer1.0.conv1', 24.170000000000005, 1.4990948170634518e-08, 0)","('layer1.0.bn1', 29.272, 2.8001459984807293e-07, 0)","('layer1.0.conv2', 26.154000000000003, 4.809391467460952e-09, 0)","('layer1.0.bn2', 25.979999999999993, 3.1651938999129927e-07, 0)","('layer2.0.conv1', 25.394, 8.70433778400183e-09, 0)","('layer2.0.bn1', 29.358, 3.238062665011967e-07, 0)","('layer2.0.conv2', 25.944000000000003, 2.8073252715330456e-09, 0)","('layer2.0.bn2', 29.64, 6.543060950003564e-07, 0)","('layer3.0.conv1', 24.406, 3.75071042676609e-09, 0)","('layer3.0.bn1', 28.905999999999995, 6.774023316102101e-07, 0)","('layer3.0.conv2', 25.575999999999997, 1.3496732484782106e-09, 0)","('layer3.0.bn2', 30.376, 5.115523188167572e-07, 0)","('layer4.0.conv1', 25.964000000000006, 1.8572883571323472e-09, 0)","('layer4.0.bn1', 29.822000000000003, 1.3970114368567013e-07, 0)","('layer4.0.conv2', 19.058, 3.0531889881331155e-09, 0)","('layer4.0.bn2', 24.863999999999994, 8.908162582272781e-07, 0)","('avgpool', 24.296, 1.2850634187212564e-06, 0)"
"('conv1', 23.71399999999999, 8.215785387437792e-08, 0)","('bn1', 26.806000000000008, 2.862193665070663e-07, 0)","('layer1.0.conv1', 23.276000000000003, 2.246346019092016e-08, 0)","('layer1.0.bn1', 29.021999999999995, 2.80014599848073e-07, 0)","('layer1.0.conv2', 26.203999999999994, 8.404353128389628e-09, 0)","('layer1.0.bn2', 25.592, 3.077406779193552e-07, 0)","('layer2.0.conv1', 25.369999999999997, 6.268195107259084e-09, 0)","('layer2.0.bn1', 28.882000000000005, 3.207558645633981e-07, 0)","('layer2.0.conv2', 25.47, 6.21834093635698e-09, 0)","('layer2.0.bn2', 29.86, 6.48302405513823e-07, 0)","('layer3.0.conv1', 23.906000000000002, 3.1315769789671313e-09, 0)","('layer3.0.bn1', 29.131999999999994, 6.774023316102101e-07, 0)","('layer3.0.conv2', 25.223999999999997, 1.6335330983565644e-09, 0)","('layer3.0.bn2', 30.248, 5.115523188167572e-07, 0)","('layer4.0.conv1', 28.010000000000005, 3.5153273885953243e-09, 0)","('layer4.0.bn1', 30.369999999999994, 1.3332384323439328e-07, 0)","('layer4.0.conv2', 22.787999999999997, 2.9187689476657405e-09, 0)","('layer4.0.bn2', 26.075999999999997, 9.120719701357303e-07, 0)","('avgpool', 23.282000000000004, 1.3658274497298407e-06, 0)"
"('conv1', 23.437999999999995, 5.816315356059933e-08, 0)","('bn1', 26.758000000000006, 2.9636711821622155e-07, 0)","('layer1.0.conv1', 22.720000000000002, 2.246346019092016e-08, 0)","('layer1.0.bn1', 29.07, 2.719848166452721e-07, 0)","('layer1.0.conv2', 26.111999999999995, 4.3448214002637535e-09, 0)","('layer1.0.bn2', 26.46399999999999, 3.1359315263398456e-07, 0)","('layer2.0.conv1', 25.507999999999996, 8.100174400169632e-09, 0)","('layer2.0.bn1', 29.386, 3.2380626650119664e-07, 0)","('layer2.0.conv2', 26.087999999999994, 2.807325271533046e-09, 0)","('layer2.0.bn2', 29.598, 6.543060950003564e-07, 0)","('layer3.0.conv1', 24.950000000000003, 1.9750356984786764e-09, 0)","('layer3.0.bn1', 29.046, 6.774023316102101e-07, 0)","('layer3.0.conv2', 25.080000000000002, 2.3030138763715497e-09, 0)","('layer3.0.bn2', 30.288, 5.115523188167572e-07, 0)","('layer4.0.conv1', 25.992, 2.232498126249993e-09, 0)","('layer4.0.bn1', 30.293999999999997, 1.373096560164413e-07, 0)","('layer4.0.conv2', 20.185999999999993, 2.2234928762827626e-09, 0)","('layer4.0.bn2', 23.763999999999992, 9.120719701357303e-07, 0)","('avgpool', 24.088, 1.3389061060603127e-06, 0)"
"('conv1', 21.468, 1.3014725450193513e-07, 0)","('bn1', 26.220000000000002, 2.9636711821622155e-07, 0)","('layer1.0.conv1', 22.784000000000006, 2.647198068643775e-08, 0)","('layer1.0.bn1', 29.154000000000003, 2.719848166452721e-07, 0)","('layer1.0.conv2', 25.557999999999996, 5.124301378782547e-09, 0)","('layer1.0.bn2', 26.345999999999993, 3.106669152766699e-07, 0)","('layer2.0.conv1', 25.492, 8.5484246526903e-09, 0)","('layer2.0.bn1', 29.422000000000004, 3.2228106553229736e-07, 0)","('layer2.0.conv2', 25.973999999999997, 4.509534249336867e-09, 0)","('layer2.0.bn2', 29.625999999999998, 6.573079397436231e-07, 0)","('layer3.0.conv1', 24.82, 1.6605159069968029e-09, 0)","('layer3.0.bn1', 28.887999999999995, 6.740936044370755e-07, 0)","('layer3.0.conv2', 25.612000000000002, 3.0233751935156746e-09, 0)","('layer3.0.bn2', 30.282, 5.136864366748341e-07, 0)","('layer4.0.conv1', 25.502000000000002, 1.424503295856994e-09, 0)","('layer4.0.bn1', 30.480000000000004, 1.4607844413694695e-07, 0)","('layer4.0.conv2', 17.323999999999998, 4.751516671831269e-09, 0)","('layer4.0.bn2', 24.343999999999994, 9.120719701357303e-07, 0)","('avgpool', 21.956, 1.2850634187212562e-06, 0)"
"('conv1', 21.865999999999996, 9.415520403126721e-08, 0)","('bn1', 26.532000000000004, 2.943375678743905e-07, 0)","('layer1.0.conv1', 22.634, 2.4831833184180148e-08, 0)","('layer1.0.bn1', 28.625999999999994, 2.739922624459723e-07, 0)","('layer1.0.conv2', 26.109999999999992, 9.183833106908423e-09, 0)","('layer1.0.bn2', 26.335999999999995, 3.1651938999129927e-07, 0)","('layer2.0.conv1', 25.668, 5.167058617371367e-09, 0)","('layer2.0.bn1', 29.438000000000002, 3.1770546262559943e-07, 0)","('layer2.0.conv2', 25.554, 5.006561676964338e-09, 0)","('layer2.0.bn2', 29.577999999999996, 6.603097844868899e-07, 0)","('layer3.0.conv1', 23.605999999999998, 4.988977322364007e-09, 0)","('layer3.0.bn1', 28.923999999999996, 6.774023316102101e-07, 0)","('layer3.0.conv2', 25.138, 1.6335330983565644e-09, 0)","('layer3.0.bn2', 30.343999999999998, 5.136864366748341e-07, 0)","('layer4.0.conv1', 26.982, 2.9143448446120606e-09, 0)","('layer4.0.bn1', 30.470000000000002, 1.4448411902412775e-07, 0)","('layer4.0.conv2', 18.665999999999997, 2.572057946736095e-09, 0)","('layer4.0.bn2', 25.849999999999998, 8.589326903645998e-07, 0)","('avgpool', 23.378, 1.3119847623907847e-06, 0)"
"('conv1', 21.825999999999993, 1.1814990434504582e-07, 0)","('bn1', 26.044000000000004, 3.0042621889988366e-07, 0)","('layer1.0.conv1', 22.65, 1.335080066837691e-08, 0)","('layer1.0.bn1', 28.914, 2.6596247924317143e-07, 0)","('layer1.0.conv2', 26.990000000000002, 1.05806612284141e-08, 0)","('layer1.0.bn2', 25.79999999999999, 3.194456273486139e-07, 0)","('layer2.0.conv1', 26.422, 1.682643746826216e-08, 0)","('layer2.0.bn1', 29.326000000000004, 3.283818694078946e-07, 0)","('layer2.0.conv2', 26.346, 7.639047654265594e-09, 0)","('layer2.0.bn2', 29.792, 6.242876475676893e-07, 0)","('layer3.0.conv1', 27.504, 2.4712092435447634e-08, 0)","('layer3.0.bn1', 29.354, 5.285096088191494e-07, 0)","('layer3.0.conv2', 30.672, 2.9162582690332785e-08, 0)","('layer3.0.bn2', 30.716000000000005, 3.984440723386796e-07, 0)","('layer4.0.conv1', 32, 1.7078513628803194e-08, 0)","('layer4.0.bn1', 30.966, 8.46969272934075e-08, 0)","('layer4.0.conv2', 32, 3.149739658579165e-08, 0)","('layer4.0.bn2', 26.018, 5.294691557835903e-07, 0)","('avgpool', 32, 1.110936167866748e-06, 0)"
"('conv1', 20.493999999999996, 1.66139304972603e-07, 0)","('bn1', 26.300000000000008, 2.983966685580526e-07, 0)","('layer1.0.conv1', 23.282, 2.8112128188695358e-08, 0)","('layer1.0.bn1', 28.74599999999999, 2.539178044389701e-07, 0)","('layer1.0.conv2', 26.8, 7.21330772121291e-09, 0)","('layer1.0.bn2', 26.301999999999992, 3.077406779193552e-07, 0)","('layer2.0.conv1', 25.975999999999996, 1.3868960258696462e-08, 0)","('layer2.0.bn1', 29.370000000000005, 3.268566684389953e-07, 0)","('layer2.0.conv2', 25.230000000000004, 4.091679332304919e-09, 0)","('layer2.0.bn2', 29.64, 6.573079397436231e-07, 0)","('layer3.0.conv1', 24.398000000000003, 3.485721311108137e-09, 0)","('layer3.0.bn1', 28.913999999999994, 6.740936044370755e-07, 0)","('layer3.0.conv2', 25.450000000000003, 3.6419754324015216e-09, 0)","('layer3.0.bn2', 30.317999999999994, 5.136864366748341e-07, 0)","('layer4.0.conv1', 27.304, 3.344542252307293e-09, 0)","('layer4.0.bn1', 30.603999999999992, 1.4049830624207973e-07, 0)","('layer4.0.conv2', 27.397999999999993, 6.066051964126018e-09, 0)","('layer4.0.bn2', 26.785999999999994, 9.067580421586171e-07, 0)","('avgpool', 26.989999999999995, 1.2940371999444324e-06, 0)"
"('conv1', 22.423999999999996, 8.330959948943926e-08, 0)","('bn1', 26.870000000000005, 2.882489168488973e-07, 0)","('layer1.0.conv1', 22.645999999999997, 1.8271243175149728e-08, 0)","('layer1.0.bn1', 28.97, 2.8001459984807293e-07, 0)","('layer1.0.conv2', 25.526, 4.410297718459332e-09, 0)","('layer1.0.bn2', 25.971999999999994, 3.1651938999129927e-07, 0.5)","('layer2.0.conv1', 26.25, 8.821272632485488e-09, 0)","('layer2.0.bn1', 29.452000000000005, 3.207558645633981e-07, 0)","('layer2.0.conv2', 25.982000000000006, 7.2035988459902e-09, 0)","('layer2.0.bn2', 29.686, 6.302913370542228e-07, 0)","('layer3.0.conv1', 28.575999999999997, 2.5950359331045552e-08, 0)","('layer3.0.bn1', 29.281999999999996, 5.285096088191494e-07, 0)","('layer3.0.conv2', 31.074, 2.949732307934028e-08, 0)","('layer3.0.bn2', 30.716000000000005, 3.984440723386796e-07, 0)","('layer4.0.conv1', 32, 1.7078513628803194e-08, 0)","('layer4.0.bn1', 30.966, 8.46969272934075e-08, 0)","('layer4.0.conv2', 32, 3.149739658579165e-08, 0)","('layer4.0.bn2', 26.018, 5.294691557835903e-07, 0)","('avgpool', 32, 1.110936167866748e-06, 0)"
"('conv1', 21.129999999999995, 8.215785387437792e-08, 0)","('bn1', 27.104000000000003, 2.9230801753255943e-07, 0)","('layer1.0.conv1', 21.438000000000002, 1.8271243175149728e-08, 0)","('layer1.0.bn1', 28.992, 2.840294914494734e-07, 0)","('layer1.0.conv2', 25.572, 3.4780396641508534e-09, 0)","('layer1.0.bn2', 26.817999999999994, 3.1359315263398456e-07, 0)","('layer2.0.conv1', 26.186, 8.10017440016963e-09, 0)","('layer2.0.bn1', 29.482000000000003, 3.146550606878009e-07, 0)","('layer2.0.conv2', 25.418000000000003, 3.906943474248691e-09, 0)","('layer2.0.bn2', 29.740000000000002, 6.48302405513823e-07, 0)","('layer3.0.conv1', 25.068000000000005, 2.512443531168173e-09, 0)","('layer3.0.bn1', 29.139999999999997, 6.774023316102101e-07, 0)","('layer3.0.conv2', 24.656, 1.2479121702199325e-09, 0)","('layer3.0.bn2', 30.349999999999994, 5.115523188167572e-07, 0)","('layer4.0.conv1', 25.794000000000008, 1.5862316446145996e-09, 0)","('layer4.0.bn1', 29.990000000000002, 1.3651249346003168e-07, 0)","('layer4.0.conv2', 20.139999999999993, 2.2466687453288607e-09, 0)","('layer4.0.bn2', 25.665999999999997, 8.801884022730521e-07, 0)","('avgpool', 23.824, 1.437617699515249e-06, 0)"
