"('conv1', 23.319999999999997, 1.37388108585987e-08, 0)","('bn1', 24.93733333333334, 1.759918190458039e-07, 0)","('layer1.0.conv1', 23.794, 3.75186185653244e-09, 0)","('layer1.0.bn1', 28.442000000000007, 1.210937084534736e-07, 0)","('layer1.0.conv2', 24.601333333333336, 7.453588833110798e-10, 0)","('layer1.0.bn2', 26.721333333333337, 1.2410995252866995e-07, 0)","('layer2.0.conv1', 25.164666666666665, 7.723552822729591e-09, 0)","('layer2.0.bn1', 29.150666666666666, 1.0740669162866348e-07, 0)","('layer2.0.conv2', 26.40133333333334, 2.1819275136598048e-09, 0)","('layer2.0.bn2', 29.392666666666663, 1.5307770001365702e-07, 0)","('layer3.0.conv1', 25.05466666666667, 1.665803678780421e-09, 0)","('layer3.0.bn1', 28.843333333333337, 9.842666080736913e-08, 0)","('layer3.0.conv2', 24.36733333333333, 7.151258355912027e-10, 0)","('layer3.0.bn2', 30.415999999999993, 1.5095814063412642e-07, 0)","('layer4.0.conv1', 25.177333333333333, 6.68146339057785e-10, 0)","('layer4.0.bn1', 30.282666666666664, 8.63913931015203e-08, 0)","('layer4.0.conv2', 12.926666666666666, 1.277003644079539e-09, 0)","('layer4.0.bn2', 24.387333333333338, 2.9642050494019506e-07, 0)","('avgpool', 22.296, 4.5273682454167607e-07, 0)"
"('conv1', 24.00733333333333, 8.561261277322448e-09, 0)","('bn1', 24.13266666666667, 1.6992553425338375e-07, 0)","('layer1.0.conv1', 23.586, 3.905980724003814e-09, 0)","('layer1.0.bn1', 28.37133333333334, 1.210937084534736e-07, 0)","('layer1.0.conv2', 24.503999999999998, 1.0134059265207418e-09, 0)","('layer1.0.bn2', 26.643333333333338, 1.2706052553888488e-07, 0)","('layer2.0.conv1', 23.93, 3.0820527329625384e-09, 0)","('layer2.0.bn1', 29.150666666666663, 1.058544970389145e-07, 0)","('layer2.0.conv2', 24.955333333333332, 1.069256478664708e-09, 0)","('layer2.0.bn2', 28.65, 1.5027980133244356e-07, 0)","('layer3.0.conv1', 24.569333333333333, 2.2025589468082913e-09, 0)","('layer3.0.bn1', 28.659333333333333, 9.741441921584435e-08, 0)","('layer3.0.conv2', 24.124000000000002, 6.863404600557665e-10, 0)","('layer3.0.bn2', 30.715999999999998, 1.4915277637070783e-07, 0)","('layer4.0.conv1', 24.901333333333337, 3.9430056472156145e-10, 0)","('layer4.0.bn1', 30.009999999999994, 8.729859254183086e-08, 0)","('layer4.0.conv2', 13.494, 4.409466997862584e-10, 0)","('layer4.0.bn2', 21.96933333333333, 2.535919888271665e-07, 0)","('avgpool', 20.404, 4.393304108567664e-07, 0.5)"
"('conv1', 26.19066666666667, 1.774487447401043e-08, 0)","('bn1', 24.314000000000004, 1.7841833296277197e-07, 0)","('layer1.0.conv1', 22.420000000000005, 3.392578382045032e-09, 0)","('layer1.0.bn1', 28.115333333333336, 1.2030262547503098e-07, 0)","('layer1.0.conv2', 24.239333333333338, 8.362754242827786e-10, 0)","('layer1.0.bn2', 26.117333333333335, 1.3591224456952962e-07, 0)","('layer2.0.conv1', 24.849999999999998, 4.783268031294736e-09, 0)","('layer2.0.bn1', 29.169999999999998, 1.0740669162866348e-07, 0)","('layer2.0.conv2', 23.877999999999997, 1.108014981127781e-09, 0)","('layer2.0.bn2', 29.37266666666666, 1.5307770001365702e-07, 0)","('layer3.0.conv1', 23.90066666666667, 1.3239298153772927e-09, 0)","('layer3.0.bn1', 28.69133333333334, 9.690829842008195e-08, 0)","('layer3.0.conv2', 24.125999999999998, 6.313707971356863e-10, 0)","('layer3.0.bn2', 30.57866666666666, 1.4975456445851404e-07, 0)","('layer4.0.conv1', 24.85066666666667, 7.607581616866812e-10, 0)","('layer4.0.bn1', 30.117333333333328, 8.684499282167559e-08, 0)","('layer4.0.conv2', 15.050666666666668, 5.350260242468922e-10, 0)","('layer4.0.bn2', 24.332666666666668, 2.591783170158224e-07, 0)","('avgpool', 22.80333333333333, 4.426820142779939e-07, 0.5)"
"('conv1', 25.092666666666673, 9.099935627697658e-09, 0)","('bn1', 24.645333333333333, 1.8084484687974e-07, 0)","('layer1.0.conv1', 24.126666666666665, 7.729502945666255e-09, 0)","('layer1.0.bn1', 28.478666666666673, 1.210937084534736e-07, 0)","('layer1.0.conv2', 25.702666666666673, 1.0134059265207414e-09, 0)","('layer1.0.bn2', 26.27733333333333, 1.4033810408485198e-07, 0)","('layer2.0.conv1', 25.348, 4.026975852583644e-09, 0)","('layer2.0.bn1', 29.071999999999996, 1.0844148802182946e-07, 0)","('layer2.0.conv2', 25.035333333333327, 7.707656739815622e-10, 0)","('layer2.0.bn2', 29.539999999999992, 1.4818137732153345e-07, 0)","('layer3.0.conv1', 24.021333333333338, 6.431751476864302e-10, 0)","('layer3.0.bn1', 28.53666666666667, 9.943890239889394e-08, 0)","('layer3.0.conv2', 24.868666666666662, 5.134548009664288e-10, 0)","('layer3.0.bn2', 30.503999999999998, 1.5095814063412642e-07, 0)","('layer4.0.conv1', 26.521999999999995, 6.344461616208719e-10, 0)","('layer4.0.bn1', 30.177333333333326, 8.503059394105447e-08, 0)","('layer4.0.conv2', 16.83133333333333, 1.6587067254173847e-09, 0)","('layer4.0.bn2', 24.448000000000004, 2.759373015817901e-07, 0)","('avgpool', 22.607333333333333, 4.560884279629034e-07, 0)"
"('conv1', 24.69533333333333, 1.0145905240076695e-08, 0)","('bn1', 24.974000000000004, 1.8084484687974e-07, 0)","('layer1.0.conv1', 24.665999999999997, 3.75186185653244e-09, 0)","('layer1.0.bn1', 28.490000000000006, 1.210937084534736e-07, 0)","('layer1.0.conv2', 24.962666666666674, 6.176054679801587e-10, 0)","('layer1.0.bn2', 26.588000000000008, 1.3738753107463708e-07, 0)","('layer2.0.conv1', 25.755999999999997, 2.405339232447862e-09, 0)","('layer2.0.bn1', 29.460666666666665, 1.0481970064574852e-07, 0)","('layer2.0.conv2', 24.626666666666672, 1.0924109087075825e-09, 0)","('layer2.0.bn2', 29.77866666666666, 1.4608295331062335e-07, 0)","('layer3.0.conv1', 25.33733333333333, 1.1356996532312117e-09, 0)","('layer3.0.bn1', 29.372666666666674, 9.488381523703236e-08, 0)","('layer3.0.conv2', 24.15000000000001, 7.22582288290141e-10, 0)","('layer3.0.bn2', 30.415999999999993, 1.5095814063412642e-07, 0)","('layer4.0.conv1', 25.452666666666666, 4.5796588733537653e-10, 0)","('layer4.0.bn1', 30.208666666666666, 8.63913931015203e-08, 0)","('layer4.0.conv2', 10.787333333333333, 9.332302294852623e-10, 0)","('layer4.0.bn2', 22.994, 2.9455839554397643e-07, 0)","('avgpool', 21.626666666666665, 4.896044621751772e-07, 0)"
"('conv1', 23.152, 9.816424812177303e-09, 0)","('bn1', 24.376, 1.7963158992125598e-07, 0)","('layer1.0.conv1', 21.927333333333333, 2.1370495190138983e-09, 0)","('layer1.0.bn1', 28.42933333333334, 1.2030262547503098e-07, 0)","('layer1.0.conv2', 24.344666666666672, 7.453588833110798e-10, 0)","('layer1.0.bn2', 26.829333333333334, 1.2853581204399234e-07, 0)","('layer2.0.conv1', 25.004666666666658, 5.66747556681043e-09, 0)","('layer2.0.bn1', 29.183333333333334, 1.0740669162866348e-07, 0)","('layer2.0.conv2', 25.731333333333332, 6.718559891244993e-10, 0)","('layer2.0.bn2', 29.508666666666667, 1.495803266621402e-07, 0)","('layer3.0.conv1', 25.150000000000002, 1.0745082224275387e-09, 0)","('layer3.0.bn1', 28.802666666666667, 9.690829842008195e-08, 0)","('layer3.0.conv2', 25.320666666666668, 8.210768262668148e-10, 0)","('layer3.0.bn2', 30.542666666666662, 1.5095814063412642e-07, 0)","('layer4.0.conv1', 25.852, 5.642445325520387e-10, 0)","('layer4.0.bn1', 30.209333333333333, 8.63913931015203e-08, 0)","('layer4.0.conv2', 13.03733333333333, 9.901820251697143e-10, 0)","('layer4.0.bn2', 23.454666666666665, 2.9455839554397643e-07, 0)","('avgpool', 21.626666666666665, 4.896044621751772e-07, 0)"
"('conv1', 25.713999999999995, 2.2629552563820544e-08, 0)","('bn1', 23.95933333333333, 1.8084484687974e-07, 0)","('layer1.0.conv1', 26.091999999999995, 9.045894036616016e-09, 0)","('layer1.0.bn1', 28.986000000000004, 1.1634721058281786e-07, 0)","('layer1.0.conv2', 26.084666666666664, 2.7627655769416983e-09, 0)","('layer1.0.bn2', 26.288000000000004, 1.300110985490998e-07, 0)","('layer2.0.conv1', 25.544, 5.13164580028792e-09, 0)","('layer2.0.bn1', 29.129999999999995, 1.0792408982524647e-07, 0)","('layer2.0.conv2', 26.257999999999996, 6.315874151368917e-10, 0)","('layer2.0.bn2', 29.472666666666665, 1.5097927600274694e-07, 0)","('layer3.0.conv1', 25.168000000000006, 1.6864225304642679e-09, 0)","('layer3.0.bn1', 28.725333333333335, 9.690829842008195e-08, 0)","('layer3.0.conv2', 24.82733333333333, 7.347206996605057e-10, 0)","('layer3.0.bn2', 30.425999999999995, 1.5035635254632022e-07, 0)","('layer4.0.conv1', 25.098666666666666, 9.278159682253317e-10, 0)","('layer4.0.bn1', 30.09466666666666, 8.27625953402781e-08, 0)","('layer4.0.conv2', 13.873333333333333, 7.747506853573016e-10, 0)","('layer4.0.bn2', 22.594666666666665, 3.1317948950616275e-07, 0)","('avgpool', 19.940666666666665, 4.69494841647813e-07, 0)"
"('conv1', 23.571333333333335, 9.816424812177303e-09, 0)","('bn1', 23.540666666666667, 1.8205810383822402e-07, 0)","('layer1.0.conv1', 21.860666666666663, 2.8732861470618645e-09, 0)","('layer1.0.bn1', 28.497333333333334, 1.1713829356126049e-07, 0)","('layer1.0.conv2', 25.118666666666677, 1.4240978874618637e-09, 0)","('layer1.0.bn2', 26.296666666666663, 1.3886281757974454e-07, 0)","('layer2.0.conv1', 25.36933333333333, 4.615858071237098e-09, 0)","('layer2.0.bn1', 29.331333333333333, 1.0481970064574852e-07, 0)","('layer2.0.conv2', 25.781333333333333, 1.9118763893554084e-09, 0)","('layer2.0.bn2', 28.78333333333333, 1.4608295331062335e-07, 0)","('layer3.0.conv1', 23.894000000000002, 1.3239298153772923e-09, 0)","('layer3.0.bn1', 28.38466666666667, 9.994502319465635e-08, 0)","('layer3.0.conv2', 23.406666666666673, 1.0336724311249177e-09, 0)","('layer3.0.bn2', 30.48666666666666, 1.5035635254632022e-07, 0)","('layer4.0.conv1', 25.770000000000003, 3.8462343568426175e-10, 0)","('layer4.0.bn1', 29.74266666666667, 8.593779338136503e-08, 0)","('layer4.0.conv2', 11.547333333333333, 9.477833040364201e-10, 0)","('layer4.0.bn2', 22.459333333333333, 2.926962861477578e-07, 0)","('avgpool', 20.490666666666666, 4.829012553327226e-07, 0)"
"('conv1', 23.476, 1.0145905240076695e-08, 0)","('bn1', 24.336, 1.8084484687974e-07, 0)","('layer1.0.conv1', 21.728666666666665, 4.345759403157798e-09, 0)","('layer1.0.bn1', 28.372, 1.1951154249658834e-07, 0)","('layer1.0.conv2', 24.373333333333335, 9.381646512338195e-10, 0)","('layer1.0.bn2', 26.627999999999997, 1.3148638505420723e-07, 0)","('layer2.0.conv1', 24.323999999999998, 3.899060495779041e-09, 0)","('layer2.0.bn1', 29.283999999999995, 1.0481970064574852e-07, 0)","('layer2.0.conv2', 24.811999999999998, 4.830970485575861e-10, 0)","('layer2.0.bn2', 29.32133333333333, 1.5307770001365702e-07, 0)","('layer3.0.conv1', 24.548000000000002, 2.269736495842759e-09, 0)","('layer3.0.bn1', 28.67, 9.893278160313153e-08, 0)","('layer3.0.conv2', 24.522000000000006, 7.513676638255772e-10, 0)","('layer3.0.bn2', 30.415999999999993, 1.5095814063412642e-07, 0)","('layer4.0.conv1', 25.720666666666663, 7.611825971707736e-10, 0)","('layer4.0.bn1', 30.284, 8.684499282167559e-08, 0)","('layer4.0.conv2', 12.866666666666665, 9.332302294852623e-10, 0)","('layer4.0.bn2', 23.878666666666664, 2.982826143364137e-07, 0)","('avgpool', 22.296, 4.5273682454167607e-07, 0)"
"('conv1', 24.592666666666666, 3.0333118758992186e-08, 0)","('bn1', 24.100666666666665, 1.8327136079670806e-07, 0)","('layer1.0.conv1', 23.977333333333334, 4.401713386889447e-09, 0)","('layer1.0.bn1', 28.597333333333335, 1.210937084534736e-07, 0)","('layer1.0.conv2', 24.917999999999996, 9.115166995697011e-10, 0)","('layer1.0.bn2', 26.086666666666673, 1.2706052553888488e-07, 0)","('layer2.0.conv1', 25.122, 2.5444545513689984e-09, 0)","('layer2.0.bn1', 29.21733333333333, 1.058544970389145e-07, 0)","('layer2.0.conv2', 24.595333333333325, 1.3370424956823018e-09, 0)","('layer2.0.bn2', 29.484666666666662, 1.495803266621402e-07, 0)","('layer3.0.conv1', 24.91533333333334, 1.0745082224275383e-09, 0)","('layer3.0.bn1', 28.771333333333338, 9.741441921584435e-08, 0)","('layer3.0.conv2', 24.092000000000002, 1.0336724311249177e-09, 0)","('layer3.0.bn2', 30.639999999999997, 1.4915277637070783e-07, 0)","('layer4.0.conv1', 24.868, 8.935215811106902e-10, 0)","('layer4.0.bn1', 30.00466666666666, 8.366979478058865e-08, 0)","('layer4.0.conv2', 14.582666666666666, 7.747506853573016e-10, 0)","('layer4.0.bn2', 22.594666666666665, 3.1317948950616275e-07, 0)","('avgpool', 21.211333333333332, 4.728464450690403e-07, 0)"
